text,language
The city is quiet in the morning.,English
She likes reading books about history.,English
This restaurant serves delicious food.,English
We are planning a trip next summer.,English
The internet has changed the world.,English
Бүгін мектепте жаңа сабақ басталды.,Kazakh
"Менің атым Айдана, мен студентпін.",Kazakh
Ол музыка тыңдағанды ұнатады.,Kazakh
Қазақстанның табиғаты өте әдемі.,Kazakh
Бұл кітап өте қызықты екен.,Kazakh
Сегодня я встретил своего друга.,Russian
Мы живем в большом красивом городе.,Russian
Эта музыка поднимает настроение.,Russian
Моя сестра работает в университете.,Russian
Вечером мы смотрим старые фильмы.,Russian
Il aime marcher dans le parc le matin.,French
Paris est une ville pleine d’histoire.,French
Les enfants jouent dehors après l’école.,French
J’adore écouter de la musique française.,French
Le café chaud sent très bon.,French
